,ONE,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Profit Ratio,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
10%,1,Technology,Plano,United States,Sam Craven,20%,1,6/20/2015,CA-2015-166863,75023,HTC,HTC One Mini,20,0.09900990099,2,Central,202,Consumer,6/24/2015,Standard Class,Texas,Phones
19%,1,Technology,Bloomington,United States,Adrian Barton,20%,1,8/3/2018,CA-2018-140781,61701,Kensington,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,7,0.175,3,Central,40,Consumer,8/7/2018,Standard Class,Illinois,Accessories
-6%,1,Technology,Chicago,United States,Joy Daniels,20%,1,12/14/2015,CA-2015-148950,60610,Belkin,Belkin Standard 104 key USB Keyboard,-2,-0.05714285714,3,Central,35,Consumer,12/19/2015,Standard Class,Illinois,Accessories
31%,1,Technology,Chicago,United States,Maureen Gnade,20%,1,6/8/2016,CA-2016-164007,60610,Maxell,Maxell 4.7GB DVD+R 5/Pack,1,0.5,3,Central,2,Consumer,6/12/2016,Standard Class,Illinois,Accessories
2%,1,Technology,Chicago,United States,Roger Demir,20%,1,11/21/2017,CA-2017-146157,60610,Other,Lenovo 17-Key USB Numeric Keypad,2,0.0243902439,3,Central,82,Consumer,11/26/2017,Standard Class,Illinois,Accessories
26%,1,Technology,Chicago,United States,Xylona Preis,20%,1,11/1/2017,CA-2017-129196,60610,Maxell,Maxell 4.7GB DVD-R,18,0.2647058824,3,Central,68,Consumer,11/7/2017,Standard Class,Illinois,Accessories
-18%,1,Technology,Chicago,United States,Mick Crebagga,20%,1,9/2/2018,CA-2018-113075,60623,Kingston,Kingston Digital DataTraveler 32GB USB 2.0,-7,-0.1707317073,3,Central,41,Consumer,9/6/2018,Standard Class,Illinois,Accessories
-11%,1,Technology,Evanston,United States,Sarah Brown,20%,1,4/16/2016,CA-2016-146675,60201,Logitech,Logitech Keyboard K120,-5,-0.1136363636,3,Central,44,Consumer,4/20/2016,Standard Class,Illinois,Accessories
4%,1,Technology,Dallas,United States,Michael Oakman,20%,1,4/2/2016,US-2016-122140,75220,Anker,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,2,0.04166666667,3,Central,48,Consumer,4/7/2016,Standard Class,Texas,Accessories
13%,1,Technology,Houston,United States,Kunst Miller,20%,1,4/18/2015,CA-2015-100678,77095,Kensington,Kensington Expert Mouse Optical USB Trackball for PC or Mac,28,0.1228070175,3,Central,228,Consumer,4/22/2015,Standard Class,Texas,Accessories
13%,1,Technology,Laredo,United States,Helen Andreada,20%,1,10/13/2017,CA-2017-154018,78041,Razer,Razer Kraken PRO Over Ear PC and Music Headset,24,0.125,3,Central,192,Consumer,10/19/2017,Standard Class,Texas,Accessories
34%,1,Technology,Lubbock,United States,Craig Carroll,20%,1,10/23/2016,CA-2016-109190,79424,Canon,Canon PC-428 Personal Copier,162,0.3375,3,Central,480,Consumer,10/28/2016,Standard Class,Texas,Copiers
11%,1,Technology,Chicago,United States,Speros Goranitis,20%,1,12/19/2015,CA-2015-169446,60623,RCA,RCA ViSYS 25425RE1 Corded phone,36,0.1111111111,3,Central,324,Consumer,12/25/2015,Standard Class,Illinois,Phones
11%,1,Technology,Houston,United States,Valerie Dominguez,20%,1,6/26/2016,CA-2016-166583,77070,Polycom,Polycom SoundStation2 EX Conference phone,109,0.1121399177,3,Central,972,Consumer,6/30/2016,Standard Class,Texas,Phones
6%,1,Technology,Houston,United States,Karen Daniels,20%,1,11/11/2015,CA-2015-165309,77095,Other,Classic Ivory Antique Telephone ZL1810,15,0.0622406639,3,Central,241,Consumer,11/15/2015,Standard Class,Texas,Phones
31%,1,Technology,Houston,United States,Rick Duston,20%,1,10/19/2018,CA-2018-159457,77095,Other,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,5,0.2941176471,3,Central,17,Consumer,10/26/2018,Standard Class,Texas,Phones
8%,1,Technology,Huntsville,United States,Frank Preis,20%,1,4/13/2016,US-2016-168704,77340,Apple,Apple iPhone 5C,18,0.075,3,Central,240,Consumer,4/17/2016,Standard Class,Texas,Phones
9%,1,Technology,Irving,United States,Patrick O'Brill,20%,1,11/2/2015,CA-2015-148782,75061,Logitech,"Logitech B530 USB Headset - headset - Full size, Binaural",8,0.08988764045,3,Central,89,Consumer,11/7/2015,Standard Class,Texas,Phones
8%,1,Technology,Round Rock,United States,Alex Avila,20%,1,3/3/2017,CA-2017-103982,78664,Polycom,Polycom VVX 310 VoIP phone,32,0.07407407407,3,Central,432,Consumer,3/8/2017,Standard Class,Texas,Phones
10%,1,Technology,San Antonio,United States,John Castell,20%,1,3/25/2018,CA-2018-112039,78207,Panasonic,Panasonic KX-TG9471B,47,0.1,3,Central,470,Consumer,3/29/2018,Standard Class,Texas,Phones
20%,1,Technology,Chicago,United States,Katherine Ducich,20%,1,12/20/2016,US-2016-123218,60623,Logitech,Logitech G600 MMO Gaming Mouse,51,0.19921875,4,Central,256,Consumer,12/25/2016,Standard Class,Illinois,Accessories
15%,1,Technology,Chicago,United States,Jeremy Farry,20%,1,5/6/2018,US-2018-162124,60653,Kensington,Kensington Orbit Wireless Mobile Trackball for PC and Mac,29,0.1510416667,4,Central,192,Consumer,5/10/2018,Standard Class,Illinois,Accessories
2%,1,Technology,Quincy,United States,Eric Murdock,20%,1,10/1/2016,CA-2016-148873,62301,Other,Lenovo 17-Key USB Numeric Keypad,3,0.02752293578,4,Central,109,Consumer,10/5/2016,Standard Class,Illinois,Accessories
29%,1,Technology,Austin,United States,Joni Blumstein,20%,1,12/12/2016,US-2016-167220,78745,Other,AmazonBasics 3-Button USB Wired Mouse,6,0.2727272727,4,Central,22,Consumer,12/16/2016,Standard Class,Texas,Accessories
34%,1,Technology,Evanston,United States,Sarah Brown,20%,1,4/16/2016,CA-2016-146675,60201,Canon,Canon PC940 Copier,486,0.3375,4,Central,"1,440",Consumer,4/20/2016,Standard Class,Illinois,Copiers
13%,1,Technology,Aurora,United States,Liz Preis,20%,1,1/30/2018,CA-2018-121790,60505,Samsung,Samsung Galaxy S4,250,0.1248127808,4,Central,"2,003",Consumer,2/6/2018,Standard Class,Illinois,Phones
-20%,1,Technology,Chicago,United States,Berenike Kampe,20%,1,12/6/2015,US-2015-140452,60610,Other,Shocksock Galaxy S4 Armband,-7,-0.2,4,Central,35,Consumer,12/10/2015,Standard Class,Illinois,Phones
13%,1,Technology,Des Plaines,United States,Anne McFarland,20%,1,4/4/2018,CA-2018-157903,60016,Cisco,Cisco SPA 502G IP Phone,48,0.125,4,Central,384,Consumer,4/8/2018,Standard Class,Illinois,Phones
10%,1,Technology,Rockford,United States,David Flashing,20%,1,1/30/2017,CA-2017-168032,61107,Nokia,Nokia Lumia 1020,144,0.1,4,Central,"1,440",Consumer,2/3/2017,Standard Class,Illinois,Phones
10%,1,Technology,Amarillo,United States,Fred McMath,20%,1,7/12/2016,CA-2016-112711,79109,Other,Vtech CS6719,31,0.1009771987,4,Central,307,Consumer,7/18/2016,Standard Class,Texas,Phones
7%,1,Technology,Houston,United States,Jonathan Howell,20%,1,5/28/2018,US-2018-112613,77070,Other,Spigen Samsung Galaxy S5 Case Wallet,4,0.07407407407,4,Central,54,Consumer,6/1/2018,Standard Class,Texas,Phones
38%,1,Technology,Plano,United States,Rob Dowd,20%,1,7/3/2018,CA-2018-111647,75023,Other,netTALK DUO VoIP Telephone Service,63,0.375,4,Central,168,Consumer,7/7/2018,Standard Class,Texas,Phones
-13%,1,Technology,Grand Prairie,United States,William Brown,20%,1,12/20/2015,CA-2015-120852,75051,Logitech,Logitech Desktop MK120 Mouse and keyboard Combo,-8,-0.1230769231,5,Central,65,Consumer,12/25/2015,Standard Class,Texas,Accessories
26%,1,Technology,Houston,United States,Emily Phan,20%,1,11/5/2017,US-2017-131611,77036,Logitech,Logitech Wireless Headset H600 Over-The-Head Design,45,0.261627907,5,Central,172,Consumer,11/9/2017,Standard Class,Texas,Accessories
31%,1,Technology,Fort Worth,United States,Hunter Glantz,20%,1,10/14/2015,CA-2015-163748,76106,Hewlett-Packard,Hewlett Packard 610 Color Digital Copier / Printer,625,0.3125,5,Central,"2,000",Consumer,10/18/2015,Standard Class,Texas,Copiers
10%,1,Technology,Dallas,United States,Alan Hwang,20%,1,11/23/2018,CA-2018-166919,75220,Panasonic,Panasonic KX TS208W Corded phone,20,0.1020408163,5,Central,196,Consumer,11/27/2018,Standard Class,Texas,Phones
11%,1,Technology,Grand Prairie,United States,Sarah Jordon,20%,1,12/1/2018,CA-2018-113355,75051,Cisco,Cisco SPA112 2 Port Phone Adapter,25,0.1136363636,5,Central,220,Consumer,12/5/2018,Standard Class,Texas,Phones
35%,1,Technology,Houston,United States,Eric Hoffmann,20%,1,11/19/2017,US-2017-110156,77041,Other,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,25,0.3472222222,5,Central,72,Consumer,11/24/2017,Standard Class,Texas,Phones
13%,1,Technology,Houston,United States,Rose O'Brian,20%,1,11/25/2018,CA-2018-150266,77070,Other,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,37,0.1233333333,5,Central,300,Consumer,11/30/2018,Standard Class,Texas,Phones
-16%,1,Technology,Pasadena,United States,Xylona Preis,20%,1,11/14/2018,US-2018-136679,77506,Other,V7 USB Numeric Keypad,-27,-0.1607142857,6,Central,168,Consumer,11/18/2018,Standard Class,Texas,Accessories
-9%,1,Technology,San Antonio,United States,Jill Fjeld,20%,1,10/21/2017,CA-2017-166373,78207,SanDisk,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,-9,-0.08490566038,6,Central,106,Consumer,10/25/2017,Standard Class,Texas,Accessories
13%,1,Technology,San Antonio,United States,Peter Fuller,20%,1,4/7/2016,CA-2016-140025,78207,Razer,Razer Kraken PRO Over Ear PC and Music Headset,48,0.125,6,Central,384,Consumer,4/11/2016,Standard Class,Texas,Accessories
8%,1,Technology,Dallas,United States,George Ashbrook,20%,1,11/24/2017,CA-2017-132731,75081,AT&T,AT&T 1080 Phone,49,0.07446808511,6,Central,658,Consumer,11/28/2017,Standard Class,Texas,Phones
11%,1,Technology,Houston,United States,James Galang,20%,1,5/12/2016,CA-2016-131856,77041,Other,Digium D40 VoIP phone,70,0.113085622,6,Central,619,Consumer,5/17/2016,Standard Class,Texas,Phones
20%,1,Technology,Buffalo Grove,United States,Bryan Mills,20%,1,9/2/2015,CA-2015-106971,60089,Logitech,Logitech Gaming G510s - Keyboard,95,0.1995798319,7,Central,476,Consumer,9/8/2015,Standard Class,Illinois,Accessories
-1%,1,Technology,Dallas,United States,Michael Oakman,20%,1,4/2/2016,US-2016-122140,75220,Kingston,Kingston Digital DataTraveler 16GB USB 2.0,-1,-0.02,7,Central,50,Consumer,4/7/2016,Standard Class,Texas,Accessories
18%,1,Technology,Houston,United States,Maxwell Schwartz,20%,1,11/10/2017,US-2017-144547,77036,Kensington,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,49,0.175,7,Central,280,Consumer,11/14/2017,Standard Class,Texas,Accessories
14%,1,Technology,Round Rock,United States,Alex Avila,20%,1,3/3/2017,CA-2017-103982,78664,Verbatim,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",6,0.1428571429,7,Central,42,Consumer,3/8/2017,Standard Class,Texas,Accessories
9%,1,Technology,Houston,United States,Thomas Thornton,20%,1,3/18/2018,CA-2018-162075,77041,Pyle,Pyle PMP37LED,47,0.0873605948,7,Central,538,Consumer,3/24/2018,Standard Class,Texas,Phones
15%,1,Technology,Houston,United States,Zuschuss Carroll,20%,1,4/8/2017,CA-2017-130946,77041,Kensington,Kensington Orbit Wireless Mobile Trackball for PC and Mac,65,0.150462963,9,Central,432,Consumer,4/12/2017,Standard Class,Texas,Accessories
-6%,1,Technology,San Antonio,United States,Luke Foster,20%,1,7/26/2015,CA-2015-169019,78207,Microsoft,Microsoft Natural Keyboard Elite,-27,-0.0626450116,9,Central,431,Consumer,7/30/2015,Standard Class,Texas,Accessories
8%,1,Technology,Chicago,United States,Ken Lonsdale,20%,1,5/23/2017,CA-2017-133725,60623,Mitel,Mitel MiVoice 5330e IP Phone,148,0.07474747475,9,Central,"1,980",Consumer,5/28/2017,Standard Class,Illinois,Phones
25%,1,Technology,Chicago,United States,Michael Moore,20%,1,9/26/2015,CA-2015-115049,60623,Maxell,"Maxell Pro 80 Minute CD-R, 10/Pack",38,0.2467532468,11,Central,154,Consumer,10/1/2015,Standard Class,Illinois,Accessories
-1%,1,Technology,Chicago,United States,Rob Lucas,30%,1,9/2/2017,CA-2017-144764,60623,Okidata,Okidata C610n Printer,-19,-0.01393983859,3,Central,"1,363",Consumer,9/8/2017,Standard Class,Illinois,Machines
-23%,1,Technology,Plano,United States,Sam Craven,40%,1,6/20/2015,CA-2015-166863,75023,Okidata,Okidata C331dn Printer,-98,-0.2338902148,2,Central,419,Consumer,6/24/2015,Standard Class,Texas,Machines
12%,1,Technology,Houston,United States,Adrian Barton,40%,1,11/7/2016,CA-2016-163181,77041,Canon,Canon PC170 Desktop Personal Copier,34,0.1180555556,3,Central,288,Consumer,11/12/2016,Standard Class,Texas,Machines
12%,1,Technology,San Antonio,United States,Chris Cortes,40%,1,3/3/2017,CA-2017-145730,78207,Canon,Canon PC170 Desktop Personal Copier,34,0.1180555556,3,Central,288,Consumer,3/8/2017,Standard Class,Texas,Machines
-20%,1,Technology,Houston,United States,Brian Thompson,40%,1,11/28/2015,CA-2015-121629,77041,Other,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,-200,-0.2002002002,5,Central,999,Consumer,12/2/2015,Standard Class,Texas,Machines
37%,1,Technology,New York City,United States,Jessica Myrick,0%,1,4/17/2016,CA-2016-148712,10035,Enermax,Enermax Acrylux Wireless Keyboard,37,0.37,1,East,100,Consumer,4/23/2016,Standard Class,New York,Accessories
36%,1,Technology,Utica,United States,Rob Dowd,0%,1,8/8/2016,CA-2016-127544,13501,Logitech,Logitech G600 MMO Gaming Mouse,29,0.3625,1,East,80,Consumer,8/12/2016,Standard Class,New York,Accessories
27%,1,Technology,New York City,United States,Chuck Sachs,0%,1,12/3/2018,CA-2018-148691,10009,AT&T,AT&T 1080 Corded phone,37,0.2700729927,1,East,137,Consumer,12/9/2018,Standard Class,New York,Phones
3%,1,Technology,New York City,United States,Valerie Dominguez,0%,1,11/1/2016,CA-2016-113145,10011,Plantronics,Plantronics MX500i Earset,1,0.02325581395,1,East,43,Consumer,11/5/2016,Standard Class,New York,Phones
29%,1,Technology,Rochester,United States,Maxwell Schwartz,0%,1,5/28/2016,CA-2016-135020,14609,Panasonic,Panasonic Kx-TS550,13,0.2826086957,1,East,46,Consumer,6/2/2016,Standard Class,New York,Phones
30%,1,Technology,Rochester,United States,Ted Trevino,0%,1,2/14/2016,CA-2016-116876,14609,Samsung,Samsung Galaxy S4,188,0.3003194888,1,East,626,Consumer,2/21/2016,Standard Class,New York,Phones
16%,1,Technology,Middletown,United States,Roger Demir,0%,1,3/20/2018,US-2018-143770,6457,WD My Passport,WD My Passport Ultra 2TB Portable External Hard Drive,38,0.1596638655,2,East,238,Consumer,3/24/2018,Standard Class,Connecticut,Accessories
44%,1,Technology,Columbia,United States,Duane Noonan,0%,1,9/20/2015,CA-2015-166744,21044,Logitech,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,26,0.4333333333,2,East,60,Consumer,9/24/2015,Standard Class,Maryland,Accessories
33%,1,Technology,New Bedford,United States,Charles McCrossin,0%,1,8/18/2018,CA-2018-162936,2740,Verbatim,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",8,0.347826087,2,East,23,Consumer,8/22/2018,Standard Class,Massachusetts,Accessories
42%,1,Technology,New York City,United States,Patrick Gardner,0%,1,9/1/2017,CA-2017-151561,10011,Memorex,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,30,0.4166666667,2,East,72,Consumer,9/7/2017,Standard Class,New York,Accessories
44%,1,Technology,New York City,United States,Jim Karlsson,0%,1,12/25/2016,CA-2016-113152,10024,Plantronics,Plantronics Savi W720 Multi-Device Wireless Headset System,371,0.4395734597,2,East,844,Consumer,12/30/2016,Standard Class,New York,Accessories
33%,1,Technology,New York City,United States,Peter Fuller,0%,1,9/17/2016,US-2016-126977,10035,Plantronics,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,218,0.3303030303,2,East,660,Consumer,9/23/2016,Standard Class,New York,Accessories
24%,1,Technology,New York City,United States,Philip Fox,0%,1,9/26/2016,CA-2016-111458,10035,Other,Dell Slim USB Multimedia Keyboard,12,0.24,2,East,50,Consumer,9/30/2016,Standard Class,New York,Accessories
45%,1,Technology,New York City,United States,Seth Vernon,0%,1,9/20/2018,CA-2018-100111,10035,Logitech,"Logitech Wireless Boombox Speaker - portable - wireless, wired",96,0.4507042254,2,East,213,Consumer,9/26/2018,Standard Class,New York,Accessories
30%,1,Technology,New York City,United States,Seth Vernon,0%,1,9/20/2018,CA-2018-100111,10035,SanDisk,SanDisk Cruzer 64 GB USB Flash Drive,22,0.301369863,2,East,73,Consumer,9/26/2018,Standard Class,New York,Accessories
42%,1,Technology,New York City,United States,Trudy Brown,0%,1,8/6/2015,CA-2015-137575,10035,Logitech,Logitech G700s Rechargeable Gaming Mouse,84,0.42,2,East,200,Consumer,8/11/2015,Standard Class,New York,Accessories
29%,1,Technology,Manchester,United States,Jamie Frazer,0%,1,7/9/2018,CA-2018-121083,6040,Other,Digium D40 VoIP phone,75,0.2906976744,2,East,258,Consumer,7/15/2018,Standard Class,Connecticut,Phones
26%,1,Technology,Dover,United States,Katherine Hughes,0%,1,4/29/2015,CA-2015-118304,19901,Square,Square Credit Card Reader,5,0.25,2,East,20,Consumer,5/4/2015,Standard Class,Delaware,Phones
48%,1,Technology,Newark,United States,Ken Lonsdale,0%,1,11/13/2016,CA-2016-115798,19711,Other,Innergie mMini Combo Duo USB Travel Charging Kit,43,0.4777777778,2,East,90,Consumer,11/19/2016,Standard Class,Delaware,Phones
26%,1,Technology,Rockville,United States,Maribeth Schnelling,0%,1,2/4/2017,CA-2017-150077,20852,AT&T,AT&T 17929 Lendline Telephone,24,0.2666666667,2,East,90,Consumer,2/10/2017,Standard Class,Maryland,Phones
29%,1,Technology,Passaic,United States,Art Ferguson,0%,1,5/22/2017,CA-2017-146934,7055,Other,Digium D40 VoIP phone,75,0.2906976744,2,East,258,Consumer,5/27/2017,Standard Class,New Jersey,Phones
27%,1,Technology,Plainfield,United States,Eric Hoffmann,0%,1,7/2/2015,CA-2015-107594,7060,Logitech,"Logitech B530 USB Headset - headset - Full size, Binaural",20,0.2702702703,2,East,74,Consumer,7/6/2015,Standard Class,New Jersey,Phones
25%,1,Technology,New York City,United States,Meg Tillman,0%,1,3/13/2018,US-2018-146906,10011,Panasonic,Panasonic KX T7736-B Digital phone,75,0.25,2,East,300,Consumer,3/17/2018,Standard Class,New York,Phones
25%,1,Technology,New York City,United States,Allen Armold,0%,1,12/11/2018,CA-2018-100230,10035,Other,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,29,0.2478632479,2,East,117,Consumer,12/15/2018,Standard Class,New York,Phones
28%,1,Technology,New York City,United States,Darren Powers,0%,1,11/14/2017,CA-2017-166618,10035,Other,"SmartStand Mobile Device Holder, Assorted Colors",4,0.2857142857,2,East,14,Consumer,11/18/2017,Standard Class,New York,Phones
3%,1,Technology,New York City,United States,Kunst Miller,0%,1,4/19/2017,CA-2017-109666,10035,Other,Gear Head AU3700S Headset,1,0.03846153846,2,East,26,Consumer,4/26/2017,Standard Class,New York,Phones
27%,1,Technology,New York City,United States,Seth Vernon,0%,1,9/20/2018,CA-2018-100111,10035,Apple,Apple iPhone 5,351,0.27,2,East,"1,300",Consumer,9/26/2018,Standard Class,New York,Phones
43%,1,Technology,East Orange,United States,Patrick O'Donnell,0%,1,12/25/2018,CA-2018-108756,7017,Memorex,Memorex Micro Travel Drive 4 GB,14,0.4375,3,East,32,Consumer,12/29/2018,Standard Class,New Jersey,Accessories
11%,1,Technology,Lakewood,United States,Nora Paige,0%,1,10/12/2018,CA-2018-150091,8701,Imation,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,5,0.1111111111,3,East,45,Consumer,10/16/2018,Standard Class,New Jersey,Accessories
16%,1,Technology,New York City,United States,Lena Hernandez,0%,1,9/1/2015,CA-2015-109855,10009,WD My Passport,WD My Passport Ultra 2TB Portable External Hard Drive,57,0.1596638655,3,East,357,Consumer,9/5/2015,Standard Class,New York,Accessories
25%,1,Technology,New York City,United States,Bryan Davis,0%,1,11/11/2017,CA-2017-124667,10011,Other,Micropad Numeric Keypads,15,0.25,3,East,60,Consumer,11/16/2017,Standard Class,New York,Accessories
21%,1,Technology,New York City,United States,Andrew Roberts,0%,1,12/26/2017,CA-2017-147536,10024,Belkin,Belkin F8E887 USB Wired Ergonomic Keyboard,19,0.2111111111,3,East,90,Consumer,12/31/2017,Standard Class,New York,Accessories
44%,1,Technology,New York City,United States,Jill Fjeld,0%,1,2/16/2017,CA-2017-105781,10024,Logitech,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,40,0.4444444444,3,East,90,Consumer,2/20/2017,Standard Class,New York,Accessories
34%,1,Technology,New York City,United States,Seth Vernon,0%,1,9/20/2018,CA-2018-100111,10035,Logitech,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,20,0.3333333333,3,East,60,Consumer,9/26/2018,Standard Class,New York,Accessories
48%,1,Technology,Newark,United States,Hunter Lopez,0%,1,11/17/2018,CA-2018-166709,19711,Canon,Canon imageCLASS 2200 Advanced Copier,"5,040",0.48,3,East,"10,500",Consumer,11/22/2018,Standard Class,Delaware,Copiers
47%,1,Technology,Newark,United States,Duane Benoit,0%,1,6/17/2015,CA-2015-104402,19711,Texas Instruments,Texas Instruments TI-34 Scientific Calculator,31,0.4696969697,3,East,66,Consumer,6/23/2015,Standard Class,Delaware,Machines
45%,1,Technology,Clinton,United States,Brian Thompson,0%,1,7/9/2016,CA-2016-132626,20735,Fellowes,Fellowes Powershred HS-440 4-Sheet High Security Shredder,209,0.4494623656,3,East,465,Consumer,7/14/2016,Standard Class,Maryland,Machines
25%,1,Technology,Newark,United States,Ken Lonsdale,0%,1,11/13/2016,CA-2016-115798,19711,Other,BlackBerry Q10,94,0.2486772487,3,East,378,Consumer,11/19/2016,Standard Class,Delaware,Phones
28%,1,Technology,Baltimore,United States,Ryan Crowe,0%,1,11/14/2017,US-2017-144351,21215,Other,"BlueLounge Milo Smartphone Stand, White/Metallic",25,0.2777777778,3,East,90,Consumer,11/18/2017,Standard Class,Maryland,Phones
25%,1,Technology,Rockville,United States,Joel Eaton,0%,1,12/1/2017,CA-2017-113621,20852,Other,JBL Micro Wireless Portable Bluetooth Speaker,45,0.25,3,East,180,Consumer,12/5/2017,Standard Class,Maryland,Phones
28%,1,Technology,Paterson,United States,Dean Braden,0%,1,12/21/2018,CA-2018-165841,7501,Jabra,Jabra SPEAK 410,79,0.280141844,3,East,282,Consumer,12/28/2018,Standard Class,New Jersey,Phones
30%,1,Technology,Long Beach,United States,Clay Ludtke,0%,1,9/14/2017,CA-2017-153178,11561,Other,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,131,0.299086758,3,East,438,Consumer,9/18/2017,Standard Class,New York,Phones
29%,1,Technology,New York City,United States,Dennis Kane,0%,1,9/7/2015,CA-2015-100006,10024,AT&T,AT&T EL51110 DECT,110,0.291005291,3,East,378,Consumer,9/13/2015,Standard Class,New York,Phones
28%,1,Technology,New York City,United States,Steven Cartwright,0%,1,6/26/2018,CA-2018-163531,10024,Other,Mophie Juice Pack Helium for iPhone,67,0.2791666667,3,East,240,Consumer,6/30/2018,Standard Class,New York,Phones
25%,1,Technology,New York City,United States,Amy Hunt,0%,1,5/14/2018,CA-2018-115546,10035,Other,Google Nexus 5,135,0.25,3,East,540,Consumer,5/18/2018,Standard Class,New York,Phones
28%,1,Technology,New York City,United States,Peter Fuller,0%,1,9/17/2016,US-2016-126977,10035,Clearsounds,ClearSounds CSC500 Amplified Spirit Phone Corded phone,59,0.280952381,3,East,210,Consumer,9/23/2016,Standard Class,New York,Phones
27%,1,Technology,New York City,United States,Seth Vernon,0%,1,9/20/2018,CA-2018-100111,10035,Plantronics,Plantronics Cordless Phone Headset with In-line Volume - M214C,28,0.2666666667,3,East,105,Consumer,9/26/2018,Standard Class,New York,Phones
26%,1,Technology,New York City,United States,Toby Gnade,0%,1,1/27/2018,US-2018-104437,10035,Other,Jensen SMPS-640 - speaker phone,36,0.2608695652,3,East,138,Consumer,1/31/2018,Standard Class,New York,Phones
43%,1,Technology,Long Beach,United States,Aimee Bixby,0%,1,9/4/2018,CA-2018-120761,11561,Verbatim,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",40,0.4347826087,4,East,92,Consumer,9/8/2018,Standard Class,New York,Accessories
32%,1,Technology,New York City,United States,Frank Preis,0%,1,11/7/2018,CA-2018-113572,10024,Maxell,Maxell CD-R Discs,3,0.375,4,East,8,Consumer,11/11/2018,Standard Class,New York,Accessories
47%,1,Technology,Morristown,United States,Gary Zandusky,0%,1,9/17/2018,CA-2018-126928,7960,Lexmark,Lexmark 20R1285 X6650 Wireless All-in-One Printer,226,0.4708333333,4,East,480,Consumer,9/23/2018,Standard Class,New Jersey,Machines
32%,1,Technology,New York City,United States,Tom Boeckenhauer,0%,1,12/14/2015,CA-2015-145541,10024,Hewlett-Packard,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color","2,240",0.32,4,East,"7,000",Consumer,12/21/2015,Standard Class,New York,Machines
26%,1,Technology,Hempstead,United States,Sean O'Donnell,0%,1,12/4/2016,CA-2016-161718,11550,Square,Square Credit Card Reader,10,0.25,4,East,40,Consumer,12/10/2016,Standard Class,New York,Phones
28%,1,Technology,New York City,United States,Speros Goranitis,0%,1,11/3/2015,CA-2015-121573,10009,Panasonic,Panasonic KX-TG9471B,220,0.2806122449,4,East,784,Consumer,11/7/2015,Standard Class,New York,Phones
25%,1,Technology,New York City,United States,Valerie Dominguez,0%,1,11/1/2016,CA-2016-113145,10011,Other,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,126,0.25,4,East,504,Consumer,11/5/2016,Standard Class,New York,Phones
29%,1,Technology,New York City,United States,Katherine Ducich,0%,1,11/19/2016,CA-2016-145814,10035,Other,Aastra 6757i CT Wireless VoIP phone,250,0.2900232019,4,East,862,Consumer,11/24/2016,Standard Class,New York,Phones
2%,1,Technology,New York City,United States,Peter Fuller,0%,1,9/17/2016,US-2016-126977,10035,Other,ARKON Windshield Dashboard Air Vent Car Mount Holder,1,0.01470588235,4,East,68,Consumer,9/23/2016,Standard Class,New York,Phones
32%,1,Technology,Passaic,United States,Art Ferguson,0%,1,5/22/2017,CA-2017-146934,7055,SanDisk,SanDisk Cruzer 32 GB USB Flash Drive,30,0.3157894737,5,East,95,Consumer,5/27/2017,Standard Class,New Jersey,Accessories
11%,1,Technology,New York City,United States,Caroline Jumper,0%,1,5/7/2017,CA-2017-128818,10009,SanDisk,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,22,0.11,5,East,200,Consumer,5/11/2017,Standard Class,New York,Accessories
44%,1,Technology,New York City,United States,Susan Vittorini,0%,1,11/5/2018,CA-2018-116225,10009,Enermax,Enermax Aurora Lite Keyboard,172,0.4398976982,5,East,391,Consumer,11/9/2018,Standard Class,New York,Accessories
29%,1,Technology,New York City,United States,Caroline Jumper,0%,1,5/7/2017,CA-2017-128818,10009,Other,Bady BDG101FRU Card Printer,"1,160",0.29,5,East,"4,000",Consumer,5/11/2017,Standard Class,New York,Machines
